Identifier,nBM,nHet,ZM1V,DBI,MAXDN,MAXDP,DELS,CIC0,J_D/Dt,SM1_Dz(Z),SM1_Dz(e),HyWi_B(s),SpMax4_Bh(m),SpMax5_Bh(m),SpMax3_Bh(s),SpMax7_Bh(s),P_VSA_v_2,P_VSA_s_6,Eta_F_A,Eig02_AEA(dm),Eig03_AEA(dm),Eig04_AEA(dm),nHAcc,Uc,nBM,nHet,ZM1V,DBI,MAXDN,MAXDP,DELS,CIC0,J_D/Dt,SM1_Dz(Z),SM1_Dz(e),HyWi_B(s),SpMax4_Bh(m),SpMax5_Bh(m),SpMax3_Bh(s),SpMax7_Bh(s),P_VSA_v_2,P_VSA_s_6,Eta_F_A,Eig02_AEA(dm),Eig03_AEA(dm),Eig04_AEA(dm),nHAcc,Uc
NEHCOV,0.034482758620689655,0.13333333333333333,0.13314244810307801,0.1269980935621059,0.22639796659404507,0.3364243829264967,0.048289541507082596,0.097581317764804,0.06919213483146067,0.6653021911870937,0.6340106951871658,0.46404624277456663,0.27475468331846564,0.19801884043896284,0.9651411879259979,0.1821296784396415,0.1151259253938856,0.07642661308175672,0.31209289153214387,0.3767071320182093,0.49949186991869915,0.4080426635918132,0.07894736842105263,0.3767279559790632,0.10919540229885058,0.0,0.06012884753042233,0.1269980935621059,0.02977487291212782,0.015000681849174963,0.0057287146930439835,0.3734778982485404,0.18733370786516854,0.29472670358776787,0.4889839572192513,0.2927167630057803,0.20101100208147493,0.19151209090026222,0.2163583252190847,0.32551396942540856,0.0,0.0,0.49929198527329366,0.3025417298937785,0.3738143631436314,0.41049293744594983,0.0,0.5800563682727151
NEHCUB,0.034482758620689655,0.13333333333333333,0.13314244810307801,0.1269980935621059,0.3450435729847495,0.300218191735988,0.07029583134872736,0.12677231025854874,0.06919213483146067,0.6000481579581025,0.6911229946524063,0.5489017341040463,0.1831697888789771,0.12848402447314755,0.9690360272638754,0.33684765419082763,0.19187910751755874,0.1273793913798682,0.448314924950439,0.38751896813353554,0.5025406504065041,0.42260017296050734,0.13157894736842105,0.3767279559790632,0.10919540229885058,0.0,0.06012884753042233,0.1269980935621059,0.02977487291212782,0.015000681849174963,0.0057287146930439835,0.3734778982485404,0.18733370786516854,0.29472670358776787,0.4889839572192513,0.2927167630057803,0.20101100208147493,0.19151209090026222,0.2163583252190847,0.32551396942540856,0.0,0.0,0.49929198527329366,0.3025417298937785,0.3738143631436314,0.41049293744594983,0.0,0.5800563682727151
NEHDAI,0.034482758620689655,0.13333333333333333,0.13314244810307801,0.1269980935621059,0.30673565722585333,0.3199236328924042,0.05926740309141803,0.10442035029190988,0.06919213483146067,0.6279797736575969,0.6885561497326202,0.5151445086705204,0.1906036277133512,0.19529960182577444,0.9703992210321324,0.32656826568265684,0.15350123385851414,0.10190215077567563,0.4032851883319173,0.3869499241274658,0.5076219512195121,0.42187950417987896,0.10526315789473684,0.3767279559790632,0.10919540229885058,0.0,0.06012884753042233,0.1269980935621059,0.02977487291212782,0.015000681849174963,0.0057287146930439835,0.3734778982485404,0.18733370786516854,0.29472670358776787,0.4889839572192513,0.2927167630057803,0.20101100208147493,0.19151209090026222,0.2163583252190847,0.32551396942540856,0.0,0.0,0.49929198527329366,0.3025417298937785,0.3738143631436314,0.41049293744594983,0.0,0.5800563682727151
NEHDEM,0.034482758620689655,0.13333333333333333,0.13314244810307801,0.1269980935621059,0.3473129992737836,0.29755897995363423,0.06981789472997396,0.12677231025854874,0.06919213483146067,0.5959547315193836,0.7020320855614973,0.5509826589595377,0.18039448904747746,0.12848402447314755,0.9690360272638754,0.3584607274644175,0.19187910751755874,0.1273793913798682,0.45652789578023223,0.38751896813353554,0.508130081300813,0.42260017296050734,0.13157894736842105,0.3767279559790632,0.10919540229885058,0.0,0.06012884753042233,0.1269980935621059,0.02977487291212782,0.015000681849174963,0.0057287146930439835,0.3734778982485404,0.18733370786516854,0.29472670358776787,0.4889839572192513,0.2927167630057803,0.20101100208147493,0.19151209090026222,0.2163583252190847,0.32551396942540856,0.0,0.0,0.49929198527329366,0.3025417298937785,0.3738143631436314,0.41049293744594983,0.0,0.5800563682727151
NEHDIQ,0.034482758620689655,0.13333333333333333,0.13314244810307801,0.1269980935621059,0.3522149600580973,0.291763261966453,0.07091241852240919,0.12677231025854874,0.06919213483146067,0.5831928726222009,0.7071657754010695,0.5565317919075146,0.15412825849935574,0.12848402447314755,0.9690360272638754,0.41407485503426467,0.19187910751755874,0.19404492277301907,0.48711413197394504,0.389226100151745,0.5091463414634146,0.4247621793023926,0.13157894736842105,0.3767279559790632,0.10919540229885058,0.0,0.06012884753042233,0.1269980935621059,0.02977487291212782,0.015000681849174963,0.0057287146930439835,0.3734778982485404,0.18733370786516854,0.29472670358776787,0.4889839572192513,0.2927167630057803,0.20101100208147493,0.19151209090026222,0.2163583252190847,0.32551396942540856,0.0,0.0,0.49929198527329366,0.3025417298937785,0.3738143631436314,0.41049293744594983,0.0,0.5800563682727151
NEHDOW,0.034482758620689655,0.13333333333333333,0.13314244810307801,0.1269980935621059,0.2835875090777052,0.3118778126278467,0.05968661712220171,0.10442035029190988,0.06919213483146067,0.6279797736575969,0.6885561497326202,0.5151445086705204,0.2032907126573496,0.17723608818102354,0.9641674780915288,0.2808381655245124,0.15350123385851414,0.10190215077567563,0.40441801189464743,0.38751896813353554,0.5071138211382115,0.42260017296050734,0.10526315789473684,0.3767279559790632,0.10919540229885058,0.0,0.06012884753042233,0.1269980935621059,0.02977487291212782,0.015000681849174963,0.0057287146930439835,0.3734778982485404,0.18733370786516854,0.29472670358776787,0.4889839572192513,0.2927167630057803,0.20101100208147493,0.19151209090026222,0.2163583252190847,0.32551396942540856,0.0,0.0,0.49929198527329366,0.3025417298937785,0.3738143631436314,0.41049293744594983,0.0,0.5800563682727151
FUMRAG,0.27586206896551724,0.0,0.16249105225483176,0.2073617832526764,0.03640159767610749,0.027683076503477434,0.020376738025485605,0.5914929107589658,0.3405314606741573,0.29472670358776787,0.4889839572192513,0.5028901734104048,0.2856576469422143,0.27911042051082835,0.3228821811100292,0.48102266736953087,0.0,0.0,0.6343811951288587,0.3941578148710167,0.5150745257452576,0.5668780628423177,0.0,0.7535901221312576,0.034482758620689655,0.0,0.018611309949892626,0.07332453438920664,0.030591866376180107,0.00818219009954998,0.0022020970488637183,0.2800667222685571,0.03715393258426965,0.29472670358776787,0.4889839572192513,0.12462427745664739,0.14828030528298147,0.11469360007769251,0.09055501460564752,0.07630469161834474,0.0,0.0,0.4032851883319173,0.24658573596358113,0.16937669376693767,0.20611127125972903,0.0,0.3767279559790632
UVALEK,0.41379310344827586,0.0,0.26628489620615603,0.2539961871242118,0.044480755265069,0.03416064366562117,0.034318459119291676,0.7157631359466222,0.17471460674157305,0.29472670358776787,0.4889839572192513,0.6168786127167631,0.27346615125384083,0.293386423230067,0.3380720545277508,0.5287295730100159,0.0,0.0,0.7394505805720759,0.46320182094081935,0.5767276422764227,0.5691842029403286,0.0,0.8307609716816536,0.034482758620689655,0.0,0.012884753042233358,0.0,0.0,0.0,0.0,0.18098415346121766,0.028089887640449437,0.29472670358776787,0.4889839572192513,0.07306358381502887,0.0,0.02622122948431581,0.09055501460564752,0.0055350553505535,0.0,0.0,0.4083828943642028,0.007018209408194226,0.16937669376693767,0.010377630441049307,0.0,0.3767279559790632
RAYBEA,0.42528735632183906,0.0,0.2698639942734431,0.27438040768441124,0.03966957153231664,0.04029728624028365,0.033895982722509675,0.7007506255212678,0.2696921348314607,0.29472670358776787,0.4889839572192513,0.6099421965317919,0.28456735057983945,0.2954258521899582,0.32229795520934756,0.5293885081707963,0.0,0.0,0.7264231096006797,0.49430955993930187,0.5506436314363145,0.6078120495820121,0.0,0.8359951684337673,0.034482758620689655,0.0,0.015748031496062992,0.0518404458131691,0.03131808278867103,0.005659348152188736,0.0011255162694192335,0.23519599666388658,0.032559550561797754,0.29472670358776787,0.4889839572192513,0.1003468208092485,0.1141837644959857,0.02622122948431581,0.09055501460564752,0.07248286768581971,0.0,0.0,0.4064004531294251,0.10128983308042488,0.16937669376693767,0.13548573075814357,0.0,0.3767279559790632
ZUKBOW,0.42528735632183906,0.0,0.2698639942734431,0.27438040768441124,0.03803558460421206,0.030546843038319924,0.03233330940931601,0.7007506255212678,0.2691,0.29472670358776787,0.4889839572192513,0.6099421965317919,0.28070175438596495,0.295134505195688,0.32444011684518015,0.5311017395888245,0.0,0.0,0.7125460209572358,0.49525796661608484,0.5675813008130082,0.5981550879215912,0.0,0.8359951684337673,0.034482758620689655,0.0,0.015748031496062992,0.0518404458131691,0.03131808278867103,0.005659348152188736,0.0011255162694192335,0.23519599666388658,0.032559550561797754,0.29472670358776787,0.4889839572192513,0.1003468208092485,0.1141837644959857,0.02622122948431581,0.09055501460564752,0.07248286768581971,0.0,0.0,0.4064004531294251,0.10128983308042488,0.16937669376693767,0.13548573075814357,0.0,0.3767279559790632
PERTCE10,0.13793103448275862,0.0,0.07802433786685754,0.14664906877841327,0.03095497458242557,0.016841674621573707,0.0079895343298774,0.4246872393661384,0.22672584269662918,0.29472670358776787,0.4889839572192513,0.3435838150289019,0.21805927247497275,0.23210643876857334,0.2373904576436222,0.36636794939377965,0.0,0.0,0.529028603794959,0.3600151745068286,0.42276422764227645,0.46584029979821273,0.0,0.6232720440209368,0.028735632183908046,0.08888888888888889,0.06370794559770937,0.23185217773867137,0.1911764705882353,0.14496113459702714,0.027744791632683688,0.14195162635529607,0.0449438202247191,0.40356368889959066,0.5828877005347594,0.42242774566473984,0.18594508871047677,0.10789550354472176,0.6958130477117819,0.1419346336320506,0.31869205867112665,0.21156446366840928,0.5205324270744831,0.596927162367223,0.6553184281842819,0.7121648890170078,0.10526315789473684,0.34693329754395386
SEVZOL,0.04597701149425287,0.08888888888888889,0.08804581245526127,0.24321748056899842,0.15114379084967322,0.17939451793263328,0.034331508583284945,0.24203502919099246,0.0714820224719101,0.40356368889959066,0.5828877005347594,0.4661271676300578,0.18594508871047677,0.2084102165679324,0.6958130477117819,0.42725355824986816,0.31869205867112665,0.21156446366840928,0.5446049277824978,0.6229135053110773,0.6553184281842819,0.7121648890170078,0.10526315789473684,0.425446248825661,0.13793103448275862,0.0,0.07802433786685754,0.14664906877841327,0.03095497458242557,0.016841674621573707,0.0079895343298774,0.4246872393661384,0.22672584269662918,0.29472670358776787,0.4889839572192513,0.3435838150289019,0.21805927247497275,0.23210643876857334,0.2373904576436222,0.36636794939377965,0.0,0.0,0.529028603794959,0.3600151745068286,0.42276422764227645,0.46584029979821273,0.0,0.6232720440209368
ZZZLJY01,0.034482758620689655,0.13333333333333333,0.13314244810307801,0.1269980935621059,0.3663761801016704,0.27519432701486435,0.07899656146623778,0.18098415346121766,0.06919213483146067,0.5593546833614255,0.7148663101604278,0.5819653179190751,0.10437109723461198,0.1249878605419054,0.9754625121713729,0.4418819188191882,0.23025441598218735,0.15285492907378714,0.5032568677428491,0.38751896813353554,0.5091463414634146,0.42260017296050734,0.15789473684210525,0.3767279559790632,0.13793103448275862,0.0,0.07802433786685754,0.14664906877841327,0.03095497458242557,0.016841674621573707,0.0079895343298774,0.4246872393661384,0.22672584269662918,0.29472670358776787,0.4889839572192513,0.3435838150289019,0.21805927247497275,0.23210643876857334,0.2373904576436222,0.36636794939377965,0.0,0.0,0.529028603794959,0.3600151745068286,0.42276422764227645,0.46584029979821273,0.0,0.6232720440209368
UGEFOC,0.29885057471264365,0.0,0.19112383679312814,0.24321748056899842,0.0358569353667393,0.027410336833492435,0.02316116740504884,0.6260216847372809,0.2513292134831461,0.29472670358776787,0.4889839572192513,0.531791907514451,0.2744573297650907,0.286296979702826,0.30438169425511197,0.4868212967843965,0.0,0.0,0.6476918719909375,0.46471927162367227,0.5331978319783198,0.568607667915826,0.0,0.7687558716950745,0.034482758620689655,0.0,0.012884753042233358,0.0,0.0,0.0,0.0,0.18098415346121766,0.028089887640449437,0.29472670358776787,0.4889839572192513,0.07306358381502887,0.0,0.02622122948431581,0.09055501460564752,0.0055350553505535,0.0,0.0,0.4083828943642028,0.007018209408194226,0.16937669376693767,0.010377630441049307,0.0,0.3767279559790632
